"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"mean-path-length"
"06/13/2019 16:54:05:744 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","mean-path-length"
"106","16","50","512","0.1","18","true","community","1","21","0","true","1","2.775470890410959"
"111","16","50","512","0.2","6","true","community","1","21","0","true","1","3.8499571917808217"
"112","16","50","512","0.2","6","true","community","1","21","0","true","1","3.88063386741683"
"113","16","50","512","0.2","8","true","community","1","21","0","true","1","3.412029109589041"
"107","16","50","512","0.1","20","true","community","1","21","0","true","1","2.6695129036203524"
"114","16","50","512","0.2","8","true","community","1","21","0","true","1","3.383982081702544"
"108","16","50","512","0.1","20","true","community","1","21","0","true","1","2.6898850293542074"
"115","16","50","512","0.2","10","true","community","1","21","0","true","1","3.111882338551859"
"116","16","50","512","0.2","10","true","community","1","21","0","true","1","3.1294795743639923"
"118","16","50","512","0.2","12","true","community","1","21","0","true","1","2.93605522260274"
"117","16","50","512","0.2","12","true","community","1","21","0","true","1","2.9291065313111546"
"120","16","50","512","0.2","14","true","community","1","21","0","true","1","2.7765181629158513"
"119","16","50","512","0.2","14","true","community","1","21","0","true","1","2.7815328400195694"
"127","16","50","512","0.4","4","true","community","1","21","0","true","1","false"
"128","16","50","512","0.4","4","true","community","1","21","0","true","1","false"
"129","16","50","512","0.4","6","true","community","1","21","0","true","1","false"
"131","16","50","512","0.4","8","true","community","1","21","0","true","1","false"
"121","16","50","512","0.2","16","true","community","1","21","0","true","1","2.672639432485323"
"122","16","50","512","0.2","16","true","community","1","21","0","true","1","2.6913909613502933"
"123","16","50","512","0.2","18","true","community","1","21","0","true","1","2.609046294031311"
"124","16","50","512","0.2","18","true","community","1","21","0","true","1","2.5975186521526417"
"125","16","50","512","0.2","20","true","community","1","21","0","true","1","2.5392459637964775"
"130","16","50","512","0.4","6","true","community","1","21","0","true","1","3.697850415851272"
"126","16","50","512","0.2","20","true","community","1","21","0","true","1","2.5442759295499022"
"132","16","50","512","0.4","8","true","community","1","21","0","true","1","3.2523926736790605"
"133","16","50","512","0.4","10","true","community","1","21","0","true","1","2.968062010763209"
"134","16","50","512","0.4","10","true","community","1","21","0","true","1","2.970920988258317"
"135","16","50","512","0.4","12","true","community","1","21","0","true","1","2.7856301981409004"
"136","16","50","512","0.4","12","true","community","1","21","0","true","1","2.787426614481409"
"137","16","50","512","0.4","14","true","community","1","21","0","true","1","2.670797150195695"
"145","16","50","512","0.5","4","true","community","1","21","0","true","1","false"
"138","16","50","512","0.4","14","true","community","1","21","0","true","1","2.665155638454012"
"146","16","50","512","0.5","4","true","community","1","21","0","true","1","false"
"139","16","50","512","0.4","16","true","community","1","21","0","true","1","2.5808158023483365"
"147","16","50","512","0.5","6","true","community","1","21","0","true","1","false"
"148","16","50","512","0.5","6","true","community","1","21","0","true","1","false"
"150","16","50","512","0.5","8","true","community","1","21","0","true","1","false"
"140","16","50","512","0.4","16","true","community","1","21","0","true","1","2.5762292074363993"
"141","16","50","512","0.4","18","true","community","1","21","0","true","1","2.500626834637965"
"142","16","50","512","0.4","18","true","community","1","21","0","true","1","2.5025914261252447"
"144","16","50","512","0.4","20","true","community","1","21","0","true","1","2.4269966976516635"
"143","16","50","512","0.4","20","true","community","1","21","0","true","1","2.429091242661448"
"149","16","50","512","0.5","8","true","community","1","21","0","true","1","3.2363243028375734"
"151","16","50","512","0.5","10","true","community","1","21","0","true","1","2.949585677592955"
"152","16","50","512","0.5","10","true","community","1","21","0","true","1","2.9566413894324852"
"153","16","50","512","0.5","12","true","community","1","21","0","true","1","2.7714729085127203"
"154","16","50","512","0.5","12","true","community","1","21","0","true","1","2.772871819960861"
"155","16","50","512","0.5","14","true","community","1","21","0","true","1","2.656555772994129"
"163","16","50","512","0.8","4","true","community","1","21","0","true","1","false"
"164","16","50","512","0.8","4","true","community","1","21","0","true","1","false"
"157","16","50","512","0.5","16","true","community","1","21","0","true","1","2.564602189334638"
"156","16","50","512","0.5","14","true","community","1","21","0","true","1","2.6544612279843443"
"165","16","50","512","0.8","6","true","community","1","21","0","true","1","false"
"158","16","50","512","0.5","16","true","community","1","21","0","true","1","2.563975354696673"
"159","16","50","512","0.5","18","true","community","1","21","0","true","1","2.4845813967710373"
"160","16","50","512","0.5","18","true","community","1","21","0","true","1","2.4866377201565557"
"161","16","50","512","0.5","20","true","community","1","21","0","true","1","2.4077329990215266"
"166","16","50","512","0.8","6","true","community","1","21","0","true","1","3.6737937255381605"
"162","16","50","512","0.5","20","true","community","1","21","0","true","1","2.407022076810176"
"167","16","50","512","0.8","8","true","community","1","21","0","true","1","3.2405669031311155"
"168","16","50","512","0.8","8","true","community","1","21","0","true","1","3.2292074363992174"
"169","16","50","512","0.8","10","true","community","1","21","0","true","1","2.9611056751467713"
"170","16","50","512","0.8","10","true","community","1","21","0","true","1","2.9484696061643834"
"171","16","50","512","0.8","12","true","community","1","21","0","true","1","2.771962145303327"
"172","16","50","512","0.8","12","true","community","1","21","0","true","1","2.767291462818004"
"173","16","50","512","0.8","14","true","community","1","21","0","true","1","2.6492477984344425"
"181","16","50","512","1","4","true","community","1","21","0","true","1","false"
"182","16","50","512","1","4","true","community","1","21","0","true","1","false"
"175","16","50","512","0.8","16","true","community","1","21","0","true","1","2.5575770547945207"
"174","16","50","512","0.8","14","true","community","1","21","0","true","1","2.649974009295499"
"176","16","50","512","0.8","16","true","community","1","21","0","true","1","2.5597174657534247"
"185","16","50","512","1","8","true","community","1","21","0","true","1","false"
"178","16","50","512","0.8","18","true","community","1","21","0","true","1","2.478565313111546"
"177","16","50","512","0.8","18","true","community","1","21","0","true","1","2.4771434686888454"
"179","16","50","512","0.8","20","true","community","1","21","0","true","1","2.4018086472602738"
"183","16","50","512","1","6","true","community","1","21","0","true","1","3.6685879403131114"
"184","16","50","512","1","6","true","community","1","21","0","true","1","3.6880274584148727"
"180","16","50","512","0.8","20","true","community","1","21","0","true","1","2.4007460861056753"
"186","16","50","512","1","8","true","community","1","21","0","true","1","3.2316230430528377"
"187","16","50","512","1","10","true","community","1","21","0","true","1","2.953224376223092"
"188","16","50","512","1","10","true","community","1","21","0","true","1","2.9533084637964775"
"189","16","50","512","1","12","true","community","1","21","0","true","1","2.7664123654598827"
"190","16","50","512","1","12","true","community","1","21","0","true","1","2.771694593933464"
"192","16","50","512","1","14","true","community","1","21","0","true","1","2.650241560665362"
"191","16","50","512","1","14","true","community","1","21","0","true","1","2.6504097358121332"
"193","16","50","512","1","16","true","community","1","21","0","true","1","2.560229635518591"
"194","16","50","512","1","16","true","community","1","21","0","true","1","2.5611469545009786"
