BehaviorSpace results (NetLogo 6.0.4),,,,,,,,,,,,,
Simulation fixed.nlogo,,,,,,,,,,,,,
mean-path-length,,,,,,,,,,,,,
06/13/2019 17:02:13:649 +0200,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-24,24,-24,24,,,,,,,,,,
[run number],n-of-communities,revision-frequency,n-of-nodes,prob-rewiring,avg-degree,always-connect-communities?,network-model,link-radius,Reward,noise,stop-when-done?,[step],mean-path-length
119,16,50,512,0.2,14,TRUE,community,1,21,0,TRUE,1,2.772803021
120,16,50,512,0.2,14,TRUE,community,1,21,0,TRUE,1,2.782855308
121,16,50,512,0.2,16,TRUE,community,1,21,0,TRUE,1,2.678968933
122,16,50,512,0.2,16,TRUE,community,1,21,0,TRUE,1,2.683043359
123,16,50,512,0.2,18,TRUE,community,1,21,0,TRUE,1,2.595087757
124,16,50,512,0.2,18,TRUE,community,1,21,0,TRUE,1,2.609474376
127,16,50,512,0.4,4,TRUE,community,1,21,0,TRUE,1,FALSE
128,16,50,512,0.4,4,TRUE,community,1,21,0,TRUE,1,FALSE
125,16,50,512,0.2,20,TRUE,community,1,21,0,TRUE,1,2.541546906
130,16,50,512,0.4,6,TRUE,community,1,21,0,TRUE,1,FALSE
126,16,50,512,0.2,20,TRUE,community,1,21,0,TRUE,1,2.536425208
129,16,50,512,0.4,6,TRUE,community,1,21,0,TRUE,1,3.708789445
131,16,50,512,0.4,8,TRUE,community,1,21,0,TRUE,1,3.255251651
132,16,50,512,0.4,8,TRUE,community,1,21,0,TRUE,1,3.255358672
133,16,50,512,0.4,10,TRUE,community,1,21,0,TRUE,1,2.969277458
134,16,50,512,0.4,10,TRUE,community,1,21,0,TRUE,1,2.973856409
135,16,50,512,0.4,12,TRUE,community,1,21,0,TRUE,1,2.79070603
136,16,50,512,0.4,12,TRUE,community,1,21,0,TRUE,1,2.782740643
137,16,50,512,0.4,14,TRUE,community,1,21,0,TRUE,1,2.667563601
139,16,50,512,0.4,16,TRUE,community,1,21,0,TRUE,1,2.578300819
138,16,50,512,0.4,14,TRUE,community,1,21,0,TRUE,1,2.667303694
140,16,50,512,0.4,16,TRUE,community,1,21,0,TRUE,1,2.578423129
141,16,50,512,0.4,18,TRUE,community,1,21,0,TRUE,1,2.498425269
142,16,50,512,0.4,18,TRUE,community,1,21,0,TRUE,1,2.499640717
145,16,50,512,0.5,4,TRUE,community,1,21,0,TRUE,1,FALSE
146,16,50,512,0.5,4,TRUE,community,1,21,0,TRUE,1,FALSE
147,16,50,512,0.5,6,TRUE,community,1,21,0,TRUE,1,FALSE
148,16,50,512,0.5,6,TRUE,community,1,21,0,TRUE,1,FALSE
143,16,50,512,0.4,20,TRUE,community,1,21,0,TRUE,1,2.427623532
149,16,50,512,0.5,8,TRUE,community,1,21,0,TRUE,1,3.232142857
144,16,50,512,0.4,20,TRUE,community,1,21,0,TRUE,1,2.427631177
150,16,50,512,0.5,8,TRUE,community,1,21,0,TRUE,1,3.239343811
152,16,50,512,0.5,10,TRUE,community,1,21,0,TRUE,1,2.960501773
151,16,50,512,0.5,10,TRUE,community,1,21,0,TRUE,1,2.955754648
153,16,50,512,0.5,12,TRUE,community,1,21,0,TRUE,1,2.774912855
154,16,50,512,0.5,12,TRUE,community,1,21,0,TRUE,1,2.772390227
155,16,50,512,0.5,14,TRUE,community,1,21,0,TRUE,1,2.653398667
156,16,50,512,0.5,14,TRUE,community,1,21,0,TRUE,1,2.655470279
157,16,50,512,0.5,16,TRUE,community,1,21,0,TRUE,1,2.567881605
158,16,50,512,0.5,16,TRUE,community,1,21,0,TRUE,1,2.564319349
159,16,50,512,0.5,18,TRUE,community,1,21,0,TRUE,1,2.483090753
160,16,50,512,0.5,18,TRUE,community,1,21,0,TRUE,1,2.483794031
163,16,50,512,0.8,4,TRUE,community,1,21,0,TRUE,1,FALSE
164,16,50,512,0.8,4,TRUE,community,1,21,0,TRUE,1,FALSE
161,16,50,512,0.5,20,TRUE,community,1,21,0,TRUE,1,2.407029721
166,16,50,512,0.8,6,TRUE,community,1,21,0,TRUE,1,FALSE
165,16,50,512,0.8,6,TRUE,community,1,21,0,TRUE,1,3.681545071
162,16,50,512,0.5,20,TRUE,community,1,21,0,TRUE,1,2.407901174
167,16,50,512,0.8,8,TRUE,community,1,21,0,TRUE,1,3.233595279
168,16,50,512,0.8,8,TRUE,community,1,21,0,TRUE,1,3.228190741
169,16,50,512,0.8,10,TRUE,community,1,21,0,TRUE,1,2.954363381
170,16,50,512,0.8,10,TRUE,community,1,21,0,TRUE,1,2.953193799
171,16,50,512,0.8,12,TRUE,community,1,21,0,TRUE,1,2.76947774
172,16,50,512,0.8,12,TRUE,community,1,21,0,TRUE,1,2.767719545
173,16,50,512,0.8,14,TRUE,community,1,21,0,TRUE,1,2.649431262
174,16,50,512,0.8,14,TRUE,community,1,21,0,TRUE,1,2.650921906
175,16,50,512,0.8,16,TRUE,community,1,21,0,TRUE,1,2.558716059
176,16,50,512,0.8,16,TRUE,community,1,21,0,TRUE,1,2.56046661
177,16,50,512,0.8,18,TRUE,community,1,21,0,TRUE,1,2.478282473
178,16,50,512,0.8,18,TRUE,community,1,21,0,TRUE,1,2.477304
181,16,50,512,1,4,TRUE,community,1,21,0,TRUE,1,FALSE
182,16,50,512,1,4,TRUE,community,1,21,0,TRUE,1,FALSE
179,16,50,512,0.8,20,TRUE,community,1,21,0,TRUE,1,2.399782901
183,16,50,512,1,6,TRUE,community,1,21,0,TRUE,1,FALSE
185,16,50,512,1,8,TRUE,community,1,21,0,TRUE,1,FALSE
180,16,50,512,0.8,20,TRUE,community,1,21,0,TRUE,1,2.398972603
184,16,50,512,1,6,TRUE,community,1,21,0,TRUE,1,3.671431629
186,16,50,512,1,8,TRUE,community,1,21,0,TRUE,1,3.228779354
187,16,50,512,1,10,TRUE,community,1,21,0,TRUE,1,2.949937317
188,16,50,512,1,10,TRUE,community,1,21,0,TRUE,1,2.950464775
189,16,50,512,1,12,TRUE,community,1,21,0,TRUE,1,2.767681323
190,16,50,512,1,12,TRUE,community,1,21,0,TRUE,1,2.769324853
191,16,50,512,1,14,TRUE,community,1,21,0,TRUE,1,2.647718933
192,16,50,512,1,14,TRUE,community,1,21,0,TRUE,1,2.650906617
193,16,50,512,1,16,TRUE,community,1,21,0,TRUE,1,2.558127446
194,16,50,512,1,16,TRUE,community,1,21,0,TRUE,1,2.558708415
195,16,50,512,1,18,TRUE,community,1,21,0,TRUE,1,2.479169215
196,16,50,512,1,18,TRUE,community,1,21,0,TRUE,1,2.476386681
197,16,50,512,1,20,TRUE,community,1,21,0,TRUE,1,2.401900379
198,16,50,512,1,20,TRUE,community,1,21,0,TRUE,1,2.399010824
