"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2 aanvullingen"
"06/20/2019 15:15:56:389 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"77","16","50","512","0.8","8","true","community","1","33","0","true","5000","53","0","219","240","","2048","0.013135014941655558","693775779","107721","5000"
"85","16","50","512","0.8","16","true","community","1","33","0","true","338","263","0","249","0","only trust","4096","0.030025435232347294","25401140","425954","338"
"78","16","50","512","1","8","true","community","1","33","0","true","5000","83","0","212","217","","2048","0.01524208755654066","826030609","161973","5000"
"84","16","50","512","1","14","true","community","1","33","0","true","1449","268","0","244","0","only trust","3584","0.026861641557943645","201438757","427383","1449"
"80","16","50","512","1","10","true","community","1","33","0","true","5000","134","51","187","140","","2560","0.01745893849992993","844302983","215321","5000"
"79","16","50","512","0.8","10","true","community","1","33","0","true","5000","125","88","175","124","","2560","0.020050484706480746","811657635","181411","5000"
"90","16","50","512","1","20","true","community","1","33","0","true","569","245","0","267","0","only trust","5120","0.03749413729409725","50846170","426480","569"
"89","16","50","512","0.8","20","true","community","1","33","0","true","1708","0","0","168","344","no trust","5120","0.038743219421700496","169549878","996","1708"
"81","16","50","512","0.8","12","true","community","1","33","0","true","5000","102","57","182","171","","3072","0.024001923095027928","740495251","184435","5000"
"93","16","50","512","0.8","6","true","community","1","36","0","true","1086","251","0","261","0","only trust","1536","0.01324551099941724","420673104","526294","1086"
"83","16","50","512","0.8","14","true","community","1","33","0","true","5000","119","251","78","64","","3584","0.028876760534241736","687923872","79680","5000"
"94","16","50","512","1","6","true","community","1","36","0","true","1459","246","0","266","0","only trust","1536","0.013460568294552652","624145474","526114","1459"
"86","16","50","512","1","16","true","community","1","33","0","true","5000","138","177","123","74","","4096","0.033511160866166075","631635444","110117","5000"
"91","16","50","512","0.8","4","true","community","1","36","0","true","5000","259","0","251","2","","1024","0.003052145337301587","2335582406","492428","5000"
