"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2"
"06/12/2019 12:56:48:685 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"77","16","50","512","0.02","20","true","community","1","27","0","true","0","0","0","0","0","no trust","0","0","0","0","<RuntimePrimitiveException>"
"44","16","50","512","0.01","20","true","community","1","36","0","true","5000","227","0","243","42","","5120","0.604004425147794","2123919426","442399","5000"
"75","16","50","512","0.02","20","true","community","1","27","0","true","64","13","499","0","0","no trust","5120","0.5789861799115179","929773","2057","64"
"76","16","50","512","0.02","20","true","community","1","27","0","true","81","16","493","0","3","no trust","5120","0.5689212880947594","2670222","4215","81"
"45","16","50","512","0.01","20","true","community","1","36","0","true","5000","230","0","252","30","","5120","0.6115176167640347","2046950830","452257","5000"
"80","16","50","512","0.02","20","true","community","1","27","0","true","105","17","494","0","1","no trust","5120","0.5706280159981748","2441147","1667","105"
"81","16","50","512","0.02","20","true","community","1","30","0","true","105","16","495","0","1","no trust","5120","0.5735950392136677","2377030","1634","105"
"78","16","50","512","0.02","20","true","community","1","27","0","true","236","29","483","0","0","no trust","5120","0.573108167085864","4144686","221","236"
"79","16","50","512","0.02","20","true","community","1","27","0","true","327","29","481","0","2","no trust","5120","0.5706532352048035","4022448","1176","327"
"48","16","50","512","0.01","20","true","community","1","36","0","true","5000","236","0","264","12","","5120","0.6052116912924927","2114901610","472067","5000"
"82","16","50","512","0.02","20","true","community","1","30","0","true","312","28","484","0","0","no trust","5120","0.5740366849747206","5894840","84","312"
"73","16","50","512","0.02","20","true","community","1","27","0","true","565","258","0","254","0","only trust","5120","0.569460941657519","63528258","368949","565"
"86","16","50","512","0.02","20","true","community","1","30","0","true","158","24","488","0","0","no trust","5120","0.5676062902604718","4204900","812","158"
"83","16","50","512","0.02","20","true","community","1","30","0","true","575","259","0","253","0","only trust","5120","0.575392743560176","74637450","408015","575"
"84","16","50","512","0.02","20","true","community","1","30","0","true","513","253","0","259","0","only trust","5120","0.5739708838817609","95122510","410550","513"
"74","16","50","512","0.02","20","true","community","1","27","0","true","862","249","0","263","0","only trust","5120","0.5728266407773355","79095601","369091","862"
"87","16","50","512","0.02","20","true","community","1","30","0","true","459","253","0","259","0","only trust","5120","0.5813773458814282","70847280","410999","459"
"85","16","50","512","0.02","20","true","community","1","30","0","true","618","253","0","259","0","only trust","5120","0.5722251252855263","69663660","409283","618"
"90","16","50","512","0.02","20","true","community","1","33","0","true","536","251","0","261","0","only trust","5120","0.5710156128136623","101637022","449395","536"
"91","16","50","512","0.02","20","true","community","1","33","0","true","454","256","0","256","0","only trust","5120","0.5611383084576271","59796660","441499","454"
"88","16","50","512","0.02","20","true","community","1","30","0","true","825","260","0","252","0","only trust","5120","0.5729626533346548","105416940","409715","825"
"93","16","50","512","0.02","20","true","community","1","33","0","true","577","266","0","246","0","only trust","5120","0.5603591145540159","71254070","444534","577"
"95","16","50","512","0.02","20","true","community","1","33","0","true","580","256","0","256","0","only trust","5120","0.5768941727396877","71837411","448357","580"
"94","16","50","512","0.02","20","true","community","1","33","0","true","640","263","0","249","0","only trust","5120","0.5682046506954527","78193367","453330","640"
"96","16","50","512","0.02","20","true","community","1","33","0","true","536","246","0","266","0","only trust","5120","0.5689181188380367","71820066","445236","536"
"97","16","50","512","0.02","20","true","community","1","36","0","true","2968","259","0","253","0","only trust","5120","0.5713895812537643","1193575312","495705","2968"
"89","16","50","512","0.02","20","true","community","1","33","0","true","5000","228","0","251","33","","5120","0.5723713613195717","1975160144","424327","5000"
"92","16","50","512","0.02","20","true","community","1","33","0","true","5000","144","0","223","145","","5120","0.5678641461500371","1657042676","266125","5000"
"98","16","50","512","0.02","20","true","community","1","36","0","true","5000","241","0","257","14","","5120","0.5723844166115483","2090522524","473747","5000"
"102","16","50","512","0.02","20","true","community","1","36","0","true","4794","267","0","245","0","only trust","5120","0.5670994760478523","1941614864","493143","4794"
"99","16","50","512","0.02","20","true","community","1","36","0","true","5000","163","0","221","128","","5120","0.5639061448883803","1983871386","320962","5000"
"101","16","50","512","0.02","20","true","community","1","36","0","true","5000","218","0","243","51","","5120","0.5726263172030119","1946205720","428328","5000"
"100","16","50","512","0.02","20","true","community","1","36","0","true","5000","178","0","228","106","","5120","0.5532690809862433","1649399894","323722","5000"
"105","16","50","512","0.02","20","true","community","1","39","0","true","970","257","0","255","0","only trust","5120","0.572173264578444","428818020","538096","970"
"106","16","50","512","0.02","20","true","community","1","39","0","true","587","259","0","253","0","only trust","5120","0.5688493254201078","262379600","537317","587"
"107","16","50","512","0.02","20","true","community","1","39","0","true","709","262","0","250","0","only trust","5120","0.5764238270141953","297843541","538689","709"
"111","16","50","512","0.02","20","true","community","1","39","0","true","390","250","0","262","0","only trust","5120","0.5696333927293373","129482340","540504","390"
"113","16","50","512","0.04","20","true","community","1","21","0","true","95","14","497","0","1","no trust","5120","0.5202289732452113","1372650","724","95"
"115","16","50","512","0.04","20","true","community","1","21","0","true","74","15","497","0","0","no trust","5120","0.5206195188104331","1409899","2647","74"
"114","16","50","512","0.04","20","true","community","1","21","0","true","204","25","487","0","0","no trust","5120","0.5087602805286485","2578896","682","204"
"116","16","50","512","0.04","20","true","community","1","21","0","true","78","27","485","0","0","no trust","5120","0.5126650806266901","1261459","1857","78"
"110","16","50","512","0.02","20","true","community","1","39","0","true","728","252","0","260","0","only trust","5120","0.5736710492398832","338162356","536689","728"
"117","16","50","512","0.04","20","true","community","1","21","0","true","72","26","484","0","2","no trust","5120","0.5186419836554892","1853528","4193","72"
"118","16","50","512","0.04","20","true","community","1","21","0","true","81","19","493","0","0","no trust","5120","0.5159646841303182","1529314","1696","81"
"119","16","50","512","0.04","20","true","community","1","21","0","true","68","8","504","0","0","no trust","5120","0.4965055148061296","1217639","2218","68"
"120","16","50","512","0.04","20","true","community","1","21","0","true","100","28","483","0","1","no trust","5120","0.5120044587653895","1323882","977","100"
"108","16","50","512","0.02","20","true","community","1","39","0","true","1106","257","0","255","0","only trust","5120","0.565848003216257","515560658","541075","1106"
"121","16","50","512","0.04","20","true","community","1","24","0","true","85","23","489","0","0","no trust","5120","0.5086888817857735","1851034","1934","85"
"124","16","50","512","0.04","20","true","community","1","24","0","true","85","22","489","0","1","no trust","5120","0.5020597313230483","1525996","1540","85"
"125","16","50","512","0.04","20","true","community","1","24","0","true","78","23","489","0","0","no trust","5120","0.5058898273015859","1721392","2280","78"
"122","16","50","512","0.04","20","true","community","1","24","0","true","168","24","488","0","0","no trust","5120","0.49762636562483414","2005294","312","168"
"109","16","50","512","0.02","20","true","community","1","39","0","true","1123","254","0","258","0","only trust","5120","0.5812443133463292","498653840","538701","1123"
"123","16","50","512","0.04","20","true","community","1","24","0","true","136","24","488","0","0","no trust","5120","0.5059002497751967","1839540","291","136"
"130","16","50","512","0.04","20","true","community","1","27","0","true","0","0","0","0","0","no trust","0","0","0","0","<RuntimePrimitiveException>"
"126","16","50","512","0.04","20","true","community","1","24","0","true","133","20","492","0","0","no trust","5120","0.5173569295324516","1458286","344","133"
"131","16","50","512","0.04","20","true","community","1","27","0","true","111","29","480","0","3","no trust","5120","0.5081926859377124","2294761","1836","111"
"132","16","50","512","0.04","20","true","community","1","27","0","true","129","36","476","0","0","no trust","5120","0.5033160597538897","2706183","542","129"
"129","16","50","512","0.04","20","true","community","1","27","0","true","482","250","0","262","0","only trust","5120","0.505741643740754","40915541","363423","482"
"133","16","50","512","0.04","20","true","community","1","27","0","true","406","252","0","260","0","only trust","5120","0.4935548665913915","43590664","370430","406"
"127","16","50","512","0.04","20","true","community","1","24","0","true","606","261","0","251","0","only trust","5120","0.5186719329766306","46371392","332646","606"
"128","16","50","512","0.04","20","true","community","1","24","0","true","584","259","0","253","0","only trust","5120","0.5063741859074449","48569658","326324","584"
"135","16","50","512","0.04","20","true","community","1","27","0","true","118","17","491","0","4","no trust","5120","0.49757663173442007","2230004","1499","118"
"112","16","50","512","0.02","20","true","community","1","39","0","true","1516","253","0","259","0","only trust","5120","0.5563275490400578","731035137","539465","1516"
"136","16","50","512","0.04","20","true","community","1","27","0","true","137","22","490","0","0","no trust","5120","0.5037803387748736","3199374","580","137"
"138","16","50","512","0.04","20","true","community","1","30","0","true","125","41","471","0","0","no trust","5120","0.48958345148530447","3309530","1286","125"
"134","16","50","512","0.04","20","true","community","1","27","0","true","511","256","0","256","0","only trust","5120","0.502105825129144","45541488","364072","511"
"139","16","50","512","0.04","20","true","community","1","30","0","true","141","23","489","0","0","no trust","5120","0.4985767450601879","3722690","566","141"
"141","16","50","512","0.04","20","true","community","1","30","0","true","121","22","490","0","0","no trust","5120","0.5104064885042289","4136890","2297","121"
"142","16","50","512","0.04","20","true","community","1","30","0","true","338","258","0","254","0","only trust","5120","0.5042871596060226","45041620","406267","338"
"140","16","50","512","0.04","20","true","community","1","30","0","true","468","250","0","262","0","only trust","5120","0.5009844233490655","43601040","399124","468"
"137","16","50","512","0.04","20","true","community","1","30","0","true","582","254","0","258","0","only trust","5120","0.5111612187276636","47060820","405131","582"
